no,nama_kos,alamat_kos,telepon_pemilik,harga_bulanan,kamar_mandi,pendingin,link_gmaps,wifi,rating,jumlah_ulasan,kecamatan,latitude,longitude,sumber_harga
1,"*Kost ""SAMIJATI"" Syariah*","Jl. Dharmawangsa V No.14, Airlangga, Kec. Gubeng, Surabaya, Jawa Timur 60286",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/*Kost+%22SAMIJATI%22+Syariah*/data=!4m7!3m6!1s0x2dd7fb9cc448867b:0x26e226e027946ef6!8m2!3d-7.2699527!4d112.755742!16s%2Fg%2F11s2lrt22z!19sChIJe4ZIxJz71y0R9m6UJ-Am4iY?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,,,Gubeng,-7.2699527,112.755742,
2,ABIZZA'S Kost House Syariah Ketintang," Jl. Ketintang Sel. No.85A, Karah, Kec. Jambangan, Surabaya, Jawa Timur 60232",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/ABIZZA%27S+Kost+House+Syariah+Ketintang/data=!4m10!3m9!1s0x2dd7fb7c81cb7a05:0x2c76d3cb66c44513!5m2!4m1!1i2!8m2!3d-7.3162363!4d112.7215731!16s%2Fg%2F11bztctz4h!19sChIJBXrLgXz71y0RE0XEZsvTdiw?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,4.5,179,Jambangan,-7.3162363,112.7215731,
3,ABS Kost 1," 006, Jl. Dukuh Kupang Tim. VI No.45, RW.08, Pakis, Kec. Sawahan, Surabaya, Jawa Timur 60256",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/ABS+Kost+1/data=!4m7!3m6!1s0x2dd7fb6093c9f8f5:0x14f5c4ebce86bb67!8m2!3d-7.2821519!4d112.7175286!16s%2Fg%2F11ft31twf9!19sChIJ9fjJk2D71y0RZ7uGzuvE9RQ?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,5.0,3,Sawahan,-7.2821519,112.7175286,
4,AFLACELL/AFLAKOST servis hp dan kost harian mingguan bulanan," Jl. Karangan Gg. VI No.95, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/AFLACELL%2FAFLAKOST+servis+hp+dan+kost+harian+mingguan+bulanan/data=!4m7!3m6!1s0x2dd7fb8f545c96ab:0xa55120efb19b446!8m2!3d-7.2980845!4d112.7214057!16s%2Fg%2F11cn5r0cd7!19sChIJq5ZcVI_71y0RRrQZ-w4SVQo?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,4.7,28,Wonokromo,-7.2980845,112.7214057,
5,AKASIA Co-Living 2," Jl. Rungkut Harapan Blk. J No.16, Kali Rungkut, Kec. Rungkut, Surabaya, Jawa Timur 60293",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/AKASIA+Co-Living+2/data=!4m7!3m6!1s0x2dd7fae9d7507ab5:0xf715b0b23d7bc829!8m2!3d-7.3252319!4d112.7784318!16s%2Fg%2F11q7dxykns!19sChIJtXpQ1-n61y0RKch7PbKwFfc?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,5.0,12,Rungkut,-7.3252319,112.7784318,
6,AL - Makmur Kost," Jl. Gubeng Klingsingan Gg. 5 No.3, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/AL+-+Makmur+Kost/data=!4m7!3m6!1s0x2dd7fb50c7b02359:0xbad07fd2fc7231a6!8m2!3d-7.2699518!4d112.7523711!16s%2Fg%2F11g0gpkkdb!19sChIJWSOwx1D71y0RpjFy_NJ_0Lo?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,4.4,29,Gubeng,-7.2699518,112.7523711,
7,AMANDITA KOST KETINTANG," Jl. Ketintang Baru III No.50, Ketintang, Kec. Gayungan, Surabaya, Jawa Timur 60231",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/AMANDITA+KOST+KETINTANG/data=!4m7!3m6!1s0x2dd7fb8d360a7be3:0xad0f8025d9eb9c52!8m2!3d-7.3162172!4d112.7303849!16s%2Fg%2F11k3l6jbtx!19sChIJ43sKNo371y0RUpzr2SWAD60?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,4.4,8,Gayungan,-7.3162172,112.7303849,
8,AP Kost," Jl. Kebonsari Tengah No.21 B, Kebonsari, Kec. Jambangan, Surabaya, Jawa Timur 60233",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/AP+Kost/data=!4m7!3m6!1s0x2dd7fd0a628583b9:0xe6745365417cd3a4!8m2!3d-7.3251474!4d112.7132051!16s%2Fg%2F11f730sxz3!19sChIJuYOFYgr91y0RpNN8QWVTdOY?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,4.8,11,Jambangan,-7.3251474,112.7132051,
9,ARS Kost Jambangan," Jl. Jambangan Kebon Agung Tol, Jambangan, Kec. Jambangan, Surabaya, Jawa Timur 60223",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/ARS+Kost+Jambangan/data=!4m7!3m6!1s0x2dd7fb3b53aba2f1:0x6db866945502069a!8m2!3d-7.3177675!4d112.7160425!16s%2Fg%2F11v_8p3rqw!19sChIJ8aKrUzv71y0RmgYCVZRmuG0?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,3.6,24,Jambangan,-7.3177675,112.7160425,
10,ARWIM KOST," Gg. III No.26C, RT.005/RW.01, Sawunggaling, Kec. Wonokromo, Surabaya, Jawa Timur 60242",,,tidak diketahui,tidak diketahui,https://www.google.com/maps/place/ARWIM+KOST/data=!4m7!3m6!1s0x2dd7fb064e4f36a9:0xe7374c3f11a78f97!8m2!3d-7.2958147!4d112.7216907!16s%2Fg%2F11fl1bx5f4!19sChIJqTZPTgb71y0Rl4-nET9MN-c?authuser=0&hl=id&g_ep=EgoyMDI2MDkwNi4wIJJjKgBIAVAD&rclk=1,False,4.9,27,Wonokromo,-7.2958147,112.7216907,
