nama_kos,kecamatan,tipe_penghuni,harga_bulanan,harga_promo,diskon,rating,dilihat,sisa_kamar,daftar_tunggu,n_fasilitas,ada_km_dalam,ada_km_luar,ada_ac,ada_wifi,ada_kasur,ada_lemari,ada_meja,ada_kursi,ada_kloset_duduk,ada_akses_24jam,ada_listrik,ada_kulkas,ada_tv,ada_dapur,sumber,teks_asli
Kost Tiara Sidosermo Tipe B,Wonocolo,Putri,1125000,,,,500,,1,5,1,0,1,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Ikut Daftar Tunggu Kost Tiara Sidosermo Tipe B Wonocolo K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam Rp1.125.000 /bulan
Kost Griya Ayu Baratajaya Tipe A,Gubeng,Putri,1525000,1375000,150000,,346,,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 346 kali Putri Kost Griya Ayu Baratajaya Tipe A Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Diskon 150rb Rp1.525.000 Rp1.375.000 (Bulan pertama)
Kost Tiara Sidosermo Tipe A,Wonocolo,Putri,1400000,,,,500,,1,5,1,0,1,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Ikut Daftar Tunggu Kost Tiara Sidosermo Tipe A Wonocolo K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Matra Ngagel Pucang Sewu,Gubeng,Campur,2515000,2440300,75000,4.8,500,2,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Sisa 2 kamar Kost Matra Ngagel Pucang Sewu Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur 4.8 Diskon 75rb Rp2.515.000 Rp2.440.300 (Bulan pertama)
Kost Griya Ayu Baratajaya Tipe B,Gubeng,Putri,1225000,1105000,120000,,500,2,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Sisa 2 kamar Kost Griya Ayu Baratajaya Tipe B Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Diskon 120rb Rp1.225.000 Rp1.105.000 (Bulan pertama)
Kost Mitra Jaya Bratang Tipe B,Wonokromo,Putri,632500,577825,55000,4.5,500,,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Kost Mitra Jaya Bratang Tipe B Wonokromo WiFi·Kloset Duduk·Kasur·Akses 24 Jam 4.5 Diskon 55rb Rp632.500 Rp577.825 (Bulan pertama)
Kost Mitra Jaya Bratang Tipe A,Wonokromo,Putri,794500,725245,69000,4.8,500,,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Kost Mitra Jaya Bratang Tipe A Wonokromo WiFi·Kasur·Akses 24 Jam 4.8 Diskon 69rb Rp794.500 Rp725.245 (Bulan pertama)
Kost Onnie Rooms Tipe A,Sukolilo,Putri,2225000,2005000,220000,,222,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 222 kali Putri Kost Onnie Rooms Tipe A Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Diskon 220rb Rp2.225.000 Rp2.005.000 (Bulan pertama)
Kost Valentino Tipe B,Sukolilo,Putri,1550000,,,5.0,,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Valentino Tipe B Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam 5.0 Rp1.550.000 /bulan
Kost Tenggilis Mejoyo KH 14 Tipe A,Rungkut,Putra,1325000,1229000,96000,4.8,234,3,0,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 234 kali Putra Sisa 3 kamar Kost Tenggilis Mejoyo KH 14 Tipe A Rungkut WiFi·AC·Kloset Duduk·Kasur 4.8 Diskon 96rb Rp1.325.000 Rp1.229.000 (Bulan pertama)
